SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS;DATA_DADES
01001;795;595;167;141;849;233;747;122;521;10/01/11
01002;843;716;174;192;906;287;791;139;629;10/01/11
01003;1771;1489;512;373;1908;467;1740;178;1342;10/01/11
01004;1566;1283;364;274;1848;363;1689;173;987;10/01/11
01005;1409;1094;264;209;1597;434;1417;228;859;10/01/11
01006;1070;832;184;174;1286;258;891;225;786;10/01/11
01007;1307;767;243;190;1456;185;952;192;930;10/01/11
01008;1994;1294;459;399;2114;316;1297;159;1832;10/01/11
01009;1153;983;226;221;1365;324;1171;134;831;10/01/11
01010;1404;1010;353;279;1512;270;1046;130;1238;10/01/11
01011;2064;1566;501;445;2298;386;1538;232;1860;10/01/11
01012;1011;911;216;209;1220;277;1079;138;705;10/01/11
01013;624;657;139;106;783;253;884;84;313;10/01/11
01014;1018;944;245;193;1292;232;1082;98;782;10/01/11
01015;1153;1159;298;197;1474;343;1233;139;940;10/01/11
01016;1219;1139;285;241;1557;275;1082;144;1132;10/01/11
01017;1418;1271;324;313;1783;269;1242;238;1209;10/01/11
01018;762;734;156;139;940;261;848;142;506;10/01/11
01019;1556;1303;280;316;1871;392;1397;276;1186;10/01/11
01020;977;1152;171;166;1370;422;1493;267;369;10/01/11
01021;1000;1058;187;167;1379;325;1358;267;433;10/01/11
01022;580;661;114;88;791;248;902;169;170;10/01/11
01023;798;857;143;120;1123;269;1106;228;321;10/01/11
01024;849;486;111;95;976;153;834;153;348;10/01/11
01025;648;692;120;79;889;252;878;239;223;10/01/11
01026;1916;1039;200;320;2179;256;1105;375;1475;10/01/11
01027;842;786;151;144;1044;289;1044;249;335;10/01/11
01028;1157;879;150;150;1399;338;1269;336;432;10/01/11
01029;737;704;115;127;1003;196;791;290;360;10/01/11
01030;1364;1152;222;221;1626;447;1583;372;561;10/01/11
01031;927;793;132;185;1169;234;948;307;465;10/01/11
01032;1001;996;175;169;1218;435;1362;289;346;10/01/11
01033;600;586;140;90;725;231;814;128;244;10/01/11
01034;535;549;107;87;652;238;767;121;196;10/01/11
01035;718;696;147;92;875;300;947;162;305;10/01/11
01036;582;620;110;133;692;267;1013;83;106;10/01/11
01037;644;714;158;118;818;264;1126;110;122;10/01/11
01038;866;774;174;132;1077;257;984;226;430;10/01/11
01039;674;707;145;99;826;311;1056;92;233;10/01/11
01040;570;562;100;82;705;245;786;145;201;10/01/11
01041;811;802;143;142;1106;222;964;249;400;10/01/11
01042;875;994;197;130;989;553;1591;92;186;10/01/11
01043;560;557;108;72;742;195;784;194;139;10/01/11
01044;699;776;149;99;983;244;1013;257;205;10/01/11
01045;1014;1021;157;132;1381;365;1272;357;406;10/01/11
01046;874;867;156;126;1171;288;1103;294;344;10/01/11
01047;880;960;166;153;1184;337;1148;236;456;10/01/11
01048;1149;1142;263;207;1466;355;1384;283;624;10/01/11
01049;667;730;147;122;875;253;983;166;248;10/01/11
01050;857;805;166;131;1106;260;1029;182;452;10/01/11
01051;930;905;194;172;1244;225;1043;255;537;10/01/11
01052;1298;1203;277;381;1454;389;1521;355;625;10/01/11
